               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,            0.091694,              0.1552,            0.023422,             0.44713,             0.34634,             0.33764,             0.18572,            0.089083,             0.22081,            0.029152,            0.006436,            0.006436,            0.006436
                 110,            0.091668,             0.15532,            0.023285,              0.4531,             0.34602,             0.33767,             0.18569,             0.08907,             0.22078,            0.029142,            0.006403,            0.006403,            0.006403
                 111,            0.091397,             0.15228,            0.023601,             0.45786,             0.34436,             0.33901,             0.18655,            0.089061,             0.22075,            0.029127,             0.00637,             0.00637,             0.00637
                 112,            0.091637,             0.15562,            0.023355,             0.45506,             0.34442,             0.33874,             0.18628,            0.089055,             0.22072,            0.029113,            0.006337,            0.006337,            0.006337
                 113,            0.091999,             0.15543,            0.023405,              0.4533,               0.346,             0.33923,             0.18636,            0.089046,             0.22074,            0.029099,            0.006304,            0.006304,            0.006304
                 114,            0.092213,             0.15479,              0.0233,              0.4458,             0.34843,             0.33847,             0.18596,            0.089037,             0.22075,            0.029077,            0.006271,            0.006271,            0.006271
                 115,            0.091326,             0.15332,            0.023363,             0.44588,             0.34858,             0.33768,             0.18639,            0.089019,             0.22078,            0.029067,            0.006238,            0.006238,            0.006238
                 116,            0.091711,             0.15356,            0.023369,              0.4462,             0.34963,              0.3381,             0.18642,            0.089012,             0.22074,            0.029064,            0.006205,            0.006205,            0.006205
                 117,             0.09158,             0.15446,            0.023309,             0.44522,                0.35,             0.33859,             0.18677,            0.089013,             0.22075,            0.029065,            0.006172,            0.006172,            0.006172
                 118,            0.091509,             0.15425,            0.023252,             0.44336,               0.349,             0.33789,             0.18676,            0.089008,             0.22072,            0.029078,            0.006139,            0.006139,            0.006139
                 119,            0.091571,             0.15501,            0.023302,             0.45253,             0.34442,             0.33866,             0.18717,            0.088989,             0.22075,            0.029061,            0.006106,            0.006106,            0.006106
                 120,            0.091278,              0.1535,            0.023313,             0.45099,             0.34474,             0.33956,              0.1874,            0.088974,             0.22079,            0.029067,            0.006073,            0.006073,            0.006073
                 121,            0.091703,             0.15512,            0.023323,             0.44926,             0.34475,             0.33909,             0.18717,            0.088969,             0.22085,            0.029086,             0.00604,             0.00604,             0.00604
                 122,            0.091585,             0.15298,            0.023153,             0.44648,             0.34598,             0.33879,             0.18688,            0.088961,             0.22091,            0.029102,            0.006007,            0.006007,            0.006007
                 123,            0.091361,             0.15243,            0.022949,             0.45258,             0.34385,             0.33927,             0.18734,            0.088958,             0.22093,            0.029108,            0.005974,            0.005974,            0.005974
                 124,             0.09121,             0.15355,            0.023147,             0.45372,             0.34486,             0.33968,             0.18762,            0.088949,             0.22092,            0.029102,            0.005941,            0.005941,            0.005941
                 125,            0.091387,             0.15353,            0.023321,             0.45104,             0.34707,             0.33936,             0.18763,            0.088938,             0.22093,            0.029102,            0.005908,            0.005908,            0.005908
                 126,            0.091308,             0.15328,            0.023158,               0.454,             0.34499,             0.34014,             0.18801,            0.088927,             0.22098,            0.029112,            0.005875,            0.005875,            0.005875
                 127,            0.091588,              0.1515,            0.023076,             0.45559,             0.34564,             0.34056,             0.18847,            0.088915,             0.22098,            0.029115,            0.005842,            0.005842,            0.005842
                 128,            0.091464,             0.15466,            0.023076,              0.4574,             0.34426,               0.341,               0.189,            0.088908,             0.22101,            0.029104,            0.005809,            0.005809,            0.005809
                 129,            0.091272,             0.15348,            0.023019,             0.45926,             0.34312,             0.34132,             0.18923,            0.088915,             0.22107,            0.029094,            0.005776,            0.005776,            0.005776
                 130,            0.091272,             0.15297,             0.02313,             0.45617,             0.34382,             0.34157,             0.18933,            0.088913,             0.22107,            0.029086,            0.005743,            0.005743,            0.005743
                 131,            0.091268,             0.15323,            0.023134,             0.45332,             0.34629,             0.34197,              0.1899,            0.088911,             0.22103,            0.029081,             0.00571,             0.00571,             0.00571
                 132,            0.091378,             0.15402,            0.023025,             0.45507,             0.34656,             0.34248,             0.19044,            0.088908,             0.22102,             0.02908,            0.005677,            0.005677,            0.005677
                 133,            0.091133,             0.15342,            0.022939,             0.45015,             0.34803,              0.3429,             0.19033,            0.088903,             0.22102,            0.029068,            0.005644,            0.005644,            0.005644
                 134,            0.091393,             0.15317,            0.022952,             0.45202,             0.34838,              0.3438,             0.19089,            0.088898,             0.22103,            0.029062,            0.005611,            0.005611,            0.005611
                 135,            0.090708,             0.15134,            0.023123,             0.45161,             0.34932,             0.34304,             0.19061,            0.088891,             0.22104,            0.029058,            0.005578,            0.005578,            0.005578
                 136,            0.090805,             0.15265,            0.023126,             0.45677,              0.3471,             0.34378,               0.191,            0.088886,             0.22106,            0.029055,            0.005545,            0.005545,            0.005545
                 137,            0.091132,             0.15255,            0.022945,               0.459,             0.34504,             0.34351,             0.19102,            0.088883,             0.22107,            0.029048,            0.005512,            0.005512,            0.005512
                 138,            0.090695,             0.15185,            0.022886,             0.45812,             0.34575,             0.34398,             0.19115,            0.088876,             0.22106,            0.029048,            0.005479,            0.005479,            0.005479
                 139,            0.091334,             0.15309,            0.022884,             0.45927,              0.3452,             0.34459,             0.19121,            0.088868,             0.22104,            0.029037,            0.005446,            0.005446,            0.005446
                 140,            0.090805,             0.15224,            0.022811,             0.46067,             0.34459,             0.34454,             0.19105,            0.088866,             0.22105,            0.029039,            0.005413,            0.005413,            0.005413
                 141,             0.09125,             0.15304,            0.023043,             0.45952,             0.34472,             0.34472,             0.19127,            0.088864,             0.22105,            0.029044,             0.00538,             0.00538,             0.00538
                 142,            0.091022,             0.15309,             0.02286,             0.45917,             0.34514,             0.34479,             0.19129,            0.088861,             0.22108,            0.029048,            0.005347,            0.005347,            0.005347
                 143,            0.091113,             0.15244,            0.022678,             0.45594,             0.34746,               0.345,             0.19141,            0.088856,              0.2211,            0.029054,            0.005314,            0.005314,            0.005314
                 144,            0.091008,             0.15118,             0.02278,             0.45766,             0.34675,             0.34473,             0.19132,             0.08885,             0.22112,            0.029059,            0.005281,            0.005281,            0.005281
                 145,             0.09102,              0.1527,            0.022676,              0.4571,             0.34664,             0.34484,             0.19153,            0.088843,             0.22114,            0.029057,            0.005248,            0.005248,            0.005248
                 146,            0.090727,             0.15106,            0.022777,             0.45706,             0.34638,             0.34521,             0.19144,            0.088837,             0.22114,            0.029056,            0.005215,            0.005215,            0.005215
                 147,             0.09123,             0.15184,            0.022668,             0.46069,             0.34541,             0.34499,             0.19142,            0.088832,             0.22115,            0.029053,            0.005182,            0.005182,            0.005182
                 148,            0.090575,             0.15284,            0.022721,             0.46392,             0.34496,             0.34565,             0.19165,            0.088828,             0.22116,            0.029053,            0.005149,            0.005149,            0.005149
                 149,            0.091147,             0.15267,              0.0227,             0.46324,             0.34473,             0.34571,             0.19188,            0.088821,             0.22118,            0.029053,            0.005116,            0.005116,            0.005116
                 150,             0.09074,             0.15189,            0.022631,             0.46186,              0.3465,             0.34554,             0.19165,            0.088819,             0.22119,            0.029051,            0.005083,            0.005083,            0.005083
